,tweet,language
324,result goi pandemic mismanagement must look future rebuilding country begin pm acknowledges mistakes amp seeks help experts living denial solve anything,en
325,salute one doctors risking lives save nation corona crisis martyrs braved adversities amp hardships never gave condolences honour calling family amp friends,en
326,pm,hi
327,india needs quick amp complete vaccination bjp usual brand lies amp rhyming slogans cover vaccine shortage caused modi govt inaction goi constant attempts save pm fake image facilitating virus amp costing people lives,en
328,,hi
329,,hi
330,,hi
331,goi modi mitr centric privatisation drive help public nyay,en
332,,hi
333,goi efficient ministry secret ministry lies amp empty slogans,en
334,,hi
335,children future deserve education health smiles let make every day,en
336,,hi
337,received tragic news passing dr ashok panagariya many contributions field neurology remembered long time come condolences bereaved family,en
338,gdp crashing unemployment soaring fuel prices skyrocketing many ways,en
339,,hi
340,alethophobia fear truth,en
341,online walk,hi
342,story melghat forest proves power local languages need conserve one congratulations local administration attaining vaccination korku speaking population area,en
343,,hi
344,,hi
345,one simple question vaccines free private hospitals charge,en
346,blue ticks,en
347,,hi
348,,hi
349,malayalam indian indian language stop language discrimination,en
350,,hi
351,earth environment responsibility,en
352,doctors need protection coronavirus well bjp governments callousness save saviours,en
353,,hi
354,perception strong sight weak strategy important see distant things close take distanced view close things miyamoto musashi,en
355,goi hiding actual covid deaths,en
356,,hi
357,pm hall shame minimum gdp maximum unemployment,en
358,black fungus amphotericin b,hi
359,modi govt non vaccination strategy dagger bharat mata heart tragic truth,en
360,,hi
361,one man arrogance one virus mutants,en
362,full marks,en
363,,hi
364,pm,hi
365,,hi
366,bring country together shut space viral spread stop lies vaccinate extensively,en
367,live interaction members press goi covid vaccine disaster,en
368,enemy fear think hate fear mahatma gandhi,en
369,positivity pr pm,hi
370,positivity pr stunt hide actual number corona deaths pm actions caused,en
371,,hi
372,evil unchecked grows evil tolerated poisons whole system remembering wise words pandit jawaharlal nehru death anniversary,en
373,numbers lie goi,en
374,lakshadweep india jewel ocean ignorant bigots power destroying stand people lakshadweep,en
375,,hi
376,truth remains unafraid,und
377,moving towards bengal odisha bay bengal appeal congress workers provide assistance ensuring safety affected please follow precautionary measures,en
378,,hi
379,vaccination key controlling pandemic goi seem care,en
380,,hi
381,,hi
382,vaccines lowest gdp highest covid deaths goi response pmcries,en
383,crocodiles innocent,und
384,pm,hi
385,mr modi vaccinate procrastinate,it
386,truth compassion progress,en
387,true ignorance absence knowledge refusal acquire karl popper,en
388,children amongst worst hit covid trauma many lost parents dreadful situation congress president makes important suggestion safeguard future amp provide free education nvs high time goi listened,en
389,,hi
390,gst,hi
391,,hi
392,,hi
393,,hi
394,time come children need protection corona paediatric services vaccine treatment protocol already place india future needs present modi system shaken sleep,en
395,goi failed managing covid crisis also standing people numerous individual stories strength amp altruism everyday immense gratitude heroes dedicated serving others showing world india truly stands,en
396,lot common pmcares ventilator pm much false pr respective jobs nowhere sight needed,en
397,pmcares pm,hi
398,arrest,hi
399,sad loss friend rajeev satav leader huge potential embodied ideals congress big loss us condolences love family,en
400,becoming stronger please continue follow safety guidelines renewing appeal congress workers provide assistance,und
401,goi disastrous vaccine strategy ensure devastating third wave repeated enough india needs proper vaccine strategy,en
402,,hi
403,issued kerala maharashtra goa tamil nadu gujarat karnataka cyclone tauktae already causing heavy rains many areas appeal congress workers provide possible assistance need please stay safe,en
404,,hi
405,,hi
406,goi vaccine policy compounding problem vaccine purchase centralised distribution decentralised india afford,en
407,saddened hear demise smt indu jain times group chairman heartfelt condolences family times group,en
408,,hi
409,,hi
410,,hi
411,country faces crisis govt ask taking people giving helpful harmful goi abdicated duty people must come together need india stands united,en
412,pm gst pm,hi
413,,hi
414,,hi
415,wishes nursing away pain suffering world salute contribution admire altruistic spirit thank nurses,en
416,pm,hi
417,heartfelt condolences family k r gouri amma ji tall presence kerala politics remains source inspiration many paying homage brilliant life journey,en
418,country needs helping hand distressing times let bit save lives join campaign strengthen fight corona,en
419,nowin,hi
420,,hi
421,goi repeated chest thumping receiving foreign aid pathetic goi done job come,en
422,,hi
423,pm,hi
424,movid pandemic,en
425,vaccine budget underutilized human life undervalued pm ego overinflated,en
426,pm,hi
427,,hi
428,central vista criminal wastage put people lives centre blind arrogance get new house,en
429,pm,hi
430,,hi
431,,hi
432,murder cover condolences families victims,en
433,questions covid foreign aid supplies india received benefitting allocated states transparency answers goi,en
434,,hi
435,heartfelt condolences passing grace rev dr philipose mar chrysostom mar thoma valiya metropolitan thirumeni kindness received love amp affection communities fondly remembered,en
436,crores central vista fully vaccinating crore indians crore oxygen cylinders give crore families nyay pm ego bigger people lives,en
437,want make clear lockdown option complete lack strategy goi allowed rather actively helped virus reach stage way stop crime committed india,en
438,goi get way stop spread corona full lockdown protection nyay vulnerable sections goi inaction killing many innocent people,en
439,died killed heartfelt condolences families much suffering system wakes,en
440,policy paralysed goi secure victory virus face fake,en
441,happy congratulate mamata ji people west bengal soundly defeating bjp,en
442,humbly accept people mandate sincere gratitude workers amp millions people supported us ground continue fight values ideals jai hind,en
443,congratulations shri mk stalin victory people tamil nadu voted change leadership prove confident step direction best wishes,en
444,,hi
445,interview pti covid crisis india goi incompetence,en
446,shortage crisis vaccine oxygen amp medical supply real unlike pm image,en
447,india needs stand together help people launched hello doctor medical advisory helpline please call medical advice dear dr amp mental health professionals need help please enroll,en
448,best wishes gratitude amp respect workers amp labourers backbone society nation amp always indebted,en
449,,hi
450,,hi
451,,hi
452,free fri adjective adverb costing nothing needing paid e g india must get free covid vaccine citizens must receive inoculation free charge let hope get time,en
453,untimely demise malappuram dcc president amp udf nilambur candidate v v prakash ji extremely tragic remembered honest amp hardworking member congress always ready offer help people heartfelt condolences family,en
454,people money given vaccine companies develop covid vaccines goi make people pay highest price world vaccines failed system fails citizens modi mitrs profit,en
455,central vista essential central govt vision essential,en
456,,hi
457,modi government must realise battle covid congress political opponents,en
458,,hi
459,,hi
460,system victim,hi
461,shroud truth deny oxygen shortage underreport deaths goi everything save fake image,en
462,system failed important jan ki baat crisis country needs responsible citizens request congress colleagues leave political work provide help ease pain countrymen dharma congress family,en
463,,hi
464,,hi
465,india needs mr lying machine,en
466,pr,hi
467,covid crisis tests vaccine oxygen icu priorities,en
468,corona cause fall oxygen level amp lack icu beds causing many deaths goi,en
469,,hi
470,,hi
471,india still covid strategy exporting oxygen amp vaccines people dying nothing short crime,en
472,news patients death nashik zakhir hussain hospital extremely tragic heartfelt condolences aggrieved families appeal state govt party workers provide possible assistance,en
473,,hi
474,,hi
475,,hi
476,india gasping thanks goi incompetency amp complacency,en
477,experiencing mild symptoms tested positive covid contact recently please follow safety protocols stay safe,en
478,free vaccines yr olds middlemen brought without price controls vaccine guarantee weaker sections goi vaccine discrimination distribution strategy,en
479,,hi
480,dear dr manmohan singh ji wishing speedy recovery india needs guidance advice difficult time,en
481,goi utterly ungrateful,en
482,chinese occupation gogra hot springs amp depsang plains direct threat india strategic interests including dbo airstrip national security massively jeopardised goi wasteful talks nation deserves better,en
483,,hi
484,view covid situation suspending public rallies west bengal would advise political leaders think deeply consequences holding large public rallies current circumstances,en
485,,hi
486,icu,hi
487,need humility clear vaccine strategy amp income support contain virus related damage goi mix arrogance suppression truth killing lakhs people,en
488,,hi
489,,hi
490,pmcares,hi
491,,hi
492,first ignore laugh fight win,en
493,greetings occasion vishu hope new year brings new prospects better health peaceful times,en
494,india proving indeed possible regress time today remember babasaheb asked difficult questions helped put country path progress,en
495,,hi
496,,hi
497,,hi
498,,hi
499,,hi
500,light devastating corona second wave conducting exams must reconsidered stakeholders must consulted making sweeping decisions many counts goi intend play future india youth,en
501,msme,hi
502,india needs jobs amp jabs bjp govt gives jumlas amp jibes,en
503,,hi
504,heartfelt condolences majesty queen family people britain passing royal highness prince philip duke edinburgh,en
505,dear students pm said answer questions without fear amp nervousness please ask took money corruption scandal deleted anti corruption clauses contract gave middlemen access key defence ministry documents,en
506,years ago nsui founded fight students rights today students targeted academic freedom curbed nsui must play even bigger role raising voice injustices power,en
507,,hi
508,pm,hi
509,,hi
510,ridiculous debate needs amp wants every indian deserves chance safe life,en
511,,hi
512,,hi
513,karma ledger one actions nobody escapes,en
514,cast votes today india counting,en
515,indian jawan face enemy without body armour st century needs made available every soldier,en
516,intelligence failure death ratio means poorly designed incompetently executed operation jawans cannon fodder martyred,en
517,condolences families martyrs sacrificed lives combat chhattisgarh decisive action needs taken locate amp rescue missing jawans appeal state govt ensure best care speedy recovery injured,en
518,celebrating hope new beginnings happy easter,en
519,election commission,fr
520,,hi
521,live interaction ambassador nicholas burns harvard kennedy school,en
522,raiding opposition bjp coping mechanism facing electoral defeat,en
523,ec,hi
524,let good friday reminder power compassion love empathy,en
525,,hi
526,,hi
527,,hi
528,,hi
529,,hi
530,,hi
531,election fight save tamil culture history interests thank tamil nadu encouragement amp support,en
532,,hi
533,india inherent pluralism attack rss bjp blocked socio economic progress rid country divisive hurdle,en
534,,hi
535,election campaign udf correction campaign correct wrongs done ldf pivot change,en
536,,hi
537,,hi
538,rss rss rss,hi
539,attack nuns kerala result vicious propaganda run sangh parivar pitch one community another trample minorities time us nation introspect take corrective steps defeat divisive forces,en
540,,hi
541,rss bjp,hi
542,congress promises right state economies also people rights better wages amp employment building trust amp harmony,en
543,,hi
544,,hi
545,,hi
546,,hi
547,,hi
548,,hi
549,,hi
550,unplanned lockdown disaster continues haunt country condolences lakhs families punished indescribable pain goi incompetence amp myopia,en
551,,hi
552,epf,hi
553,,hi
554,educated youth facing severe joblessness seems goi penalising esp obc sc st candidates real degrees,en
555,live interaction prof ashutosh varshney faculty amp students brown university,en
556,,hi
557,goi privatising profit amp nationalising loss selling psbs modicronies gravely compromises india financial security stand solidarity striking bank employees,en
558,hurts public benefits handful cronies,und
559,warned earlier continues big threat please keep guards wear masks follow precautions,en
560,psu psb pm,hi
561,,hi
562,much wealth increase zero struggle survive makes lakh cr increases wealth tell,en
563,,hi
564,,hi
565,homage rajyogini dadi hridaya mohini ji remembered role inspiring spiritual awakening teachings continue guide across world om shanti,en
566,india longer democratic country,en
567,shows badly goi failed implement manual scavenging act proactive measure must taken ensure indignity fellow citizens collective national conscience,en
568,,hi
569,caged,en
570,,hi
571,lpg,hi
572,indian forces designed fight front war obsolete must prepare borderless war past practices amp legacy systems transforming way think act nation,en
573,iyc rss,hi
574,women capable creating history future formidable grace let anyone stop,en
575,time india seriously considers dedicated cyber command done asap,en
576,msp,hi
577,congratulations well deserved victory th test amp winning test series best wishes world test championship finals,en
578,,hi
579,,hi
580,,hi
581,,hi
582,goi believes media management substitute geopolitical strategy china already made us pay price continuing path disastrous india,en
583,dept ed cbi,hi
584,,hi
585,,hi
586,china mobilized conventional amp cyber forces threaten india goi buckled mark words land depsang gone dbo vulnerable goi cowardice lead tragic consequences future,en
587,live interaction prof kaushik basu university,en
588,bjp manipur mlas disqualified office profit case eci says manipur governor already instructed action taken yet entirely unconstitutional governor protect bjp,en
589,,hi
590,lpg,hi
591,happy birthday dmk president shri mk stalin wishing good health much happiness,en
592,goi turned noble professions like farming education amp healthcare financial commodities benefit cronies fighting without anger hatred violence non violence always wins,en
593,,hi
594,,hi
595,,hi
596,,hi
597,reading tirukkural stunned depth listening ears hear listen understand make gold grain golden grain sand,en
598,psu,hi
599,dear pm fisherfolk need independent dedicated ministry fisheries department within ministry ps hum humare obviously hurt bad,en
600,,hi
601,china understood mr modi buckles pressure know get whatever want,en
602,,hi
603,beautiful truth reveals narendra modi stadium adani end reliance end jay shah presiding,en
604,afraid continue fight non violence bring,en
605,state govt stand buffer zone putting risk livelihoods people around wayanad wildlife sanctuary govt action pushing hardworking people bleak future uncertainty amp suffering corrective action immediately needed,en
606,,hi
607,,hi
608,,hi
609,students amp academics please ask longer allowed speak outside world goi trust,en
610,,ne
611,,hi
612,,hi
613,,hi
614,,hi
615,,hi
616,sad hear demise captain satish sharma love condolences family amp friends miss,en
617,youth india asking pertinent questions goi stop suppressing voices guts amplify,en
618,goi grossly negligent confident covid yet,en
619,,hi
620,th feb pm busy shooting film ignored prior intelligence inputs leaving jawans die pulwama actionable intelligence inputs ignored,en
621,,hi
622,india silenced,hi
623,,hi
624,,hi
625,,hi
626,,hi
627,last years hate normalised much even beloved sport cricket marred india belongs us let dismantle unity,en
628,,hi
629,interaction prof dipesh chakrabarty amp students university chicago institute politics,en
630,goi must explain forces withdrawing dominant positions kailash ranges ceding territory amp withdrawing forward base finger finger china withdrawn territory depsang plains amp gogra hot springs,en
631,heartfelt condolences victims firecracker factory fire virudhunagar tamil nadu heart wrenching think still trapped inside appeal state government provide immediate rescue support amp relief,en
632,,hi
633,live,hi
634,,hi
635,status quo ante peace amp tranquility goi insulting sacrifice jawans amp letting go territory,en
636,crony,hi
637,bjp minister helping china make case india sacked sacking means insulting every indian jawan,en
638,mr modi vikas psus shrunk one tenth country loss crony gain,en
639,india needs non violent warriors fight truth compassion amp harmony central defending idea india come fight india needs,en
640,,hi
641,,hi
642,cowardice runs deep goi,en
643,,hi
644,,hi
645,,hi
646,,hi
647,,hi
648,,hi
649,modi crony centric budget means jawans facing chinese aggression extreme conditions get support india defenders betrayed,en
650,modi crony centric budget means struggling msmes given low interest loans gst relief employers india largest workforce betrayed,en
651,mr modi job elected,en
652,live,hi
653,many dictators names begin marcos mussolini milo evi mubarak mobutu musharraf micombero,und
654,china continues prepare build position forces pm scared even say word china firm action needed avert catastrophe unfortunately mr modi guts,en
655,modi style governance shut cut crush,en
656,goi build bridges walls,en
657,pm,hi
658,china occupied territory amp killed soldiers pm spends diwali pr photo ops increased defence budget,en
659,forget putting cash hands people modi govt plans handover india assets crony capitalist friends,en
660,must support msmes farmers workers generate employment increase healthcare expenditure save lives increase defence expenditure safeguard borders,en
661,meritocracy bjp style,en
662,,hi
663,,hi
664,,hi
665,eyes wide shut injustice meted violation pain,en
666,,hi
667,,hi
668,live,hi
669,pm,hi
670,,hi
671,mr modi governance lesson ruin one world fastest growing economies,en
672,happens pm runs country sole interest crony capitalists,en
673,,hi
674,,hi
675,,hi
676,congratulations team amp nepal thumbs achievement superb attitude,en
677,china expanding occupation indian territory mr said word china months maybe start saying word china,en
678,india strength strong economy employed youth amp social harmony mr modi protected farmers labourers workers instead hollowing india helping crony capitalist friends china guts take land,en
679,,hi
680,gdp,hi
681,outcome modi govt policy crush people hopes amp needs work crony capitalists,en
682,delighted back tamil nadu today spend time tamilian brothers sisters kongu belt together defend amp preserve unique culture tamils attacks modi govt,en
683,,hi
684,news blast stone mining quarry karnataka tragic condolences families victims incidents call depth investigation similar tragedies avoided future,en
685,distressing learn tragic loss lives fire incident serum institute news another fire extremely worrying condolences family deceased request state govt provide necessary help victims amp families,en
686,,hi
687,port kattupalli barrier island illegal modi govt ensuring construction handover country crony capitalist friends continues,en
688,congratulating usa new chapter democracy best wishes president biden vice president harris,en
689,apmc,hi
690,heroic life guru gobind singh ji taught us value sacrifice fight justice farmer brothers sisters continue satyagraha world witnesses live example teachings greetings prakash utsav,en
691,red heart india,und
692,live,hi
693,remember promise,und
694,,hi
695,,hi
696,,hi
697,thank lovely people tamil nadu,en
698,mark words govt take back anti farm laws,en
699,coming celebrate pongal madurai tamil nadu,ta
700,harvest season time joy celebrations happy makar sankranti pongal bihu bhogi uttarayan special prayers amp wishes kisan mazdoors fighting rights powerful forces,en
701,,hi
702,wishes happy lohri everyone special wishes farmer brothers amp sisters sitting far away homes braving bad weather rights,en
703,,hi
704,,hi
705,,hi
706,congratulations women cockpit crew completing air india longest flight san francisco bengaluru north pole made country proud,en
707,,hi
708,gdp much vikas,hi
709,saddened demise shri madhavsinh solanki remembered contribution strengthening congress ideology amp promoting social justice heartfelt condolences family amp friends,en
710,unfortunate incident fire bhandara district general hospital maharashtra extremely tragic condolences families children lost lives appeal maha govt provide every possible assistance families injured amp deceased,en
711,,hi
712,,hi
713,,hi
714,gst,hi
715,modi govt apathy amp arrogance claimed lives farmers instead wiping tears goi busy attacking tear gas brutality promote crony capitalists business interests repeal anti farm laws,en
716,,hi
717,msp,hi
718,,hi
719,,hi
720,new year begins remember lost thank protect sacrifice us heart farmers labourers fighting unjust forces dignity honour happy new year,en
721,,hi
722,mr modi refusing repeal anti farmer laws,en
723,lakh every bank account amp crore jobs every year give days time else win war corona days neither anyone intruded territory took post farmers trust modi ji due long history asatyagraha,en
724,,hi
725,,hi
726,,hi
727,,hi
728,,hi
729,remember someone explained radar indian air force idea bears imprint mind indian army fighting force tourist destination,en
730,merry christmas may festival bring peace amp harmony homes hearts,en
731,,hi
732,india imaginary democracy,en
733,,hi
734,russia important friend india damaging traditional relationships short sighted dangerous future,en
735,lakh people world already received covid vaccinations china us uk russia started india ka number kab ayegaa modi ji,en
736,,hi
737,vora ji true congressman wonderful human miss much love amp condolences family friends,en
738,,hi
739,continuously warning people chinese actions china continues make diligent preparations goi sleeps timely action critical india,en
740,crore covid infections almost lakh deaths unplanned lockdown manage win battle days pm claimed surely destroyed millions lives country,en
741,,hi
742,,hi
743,facebook us says bajrang dal content offensive banned facebook india tells parliamentary panel bajrang dal content offensive facebook lying india parliament,en
744,pm cares chaliye transparency ko vanakkam,et
745,,hi
746,,hi
747,,hi
748,modi govt dissenting students anti nationals concerned citizens urban naxals migrant labourers covid carriers rape victims nobody protesting farmers khalistani crony capitalists best friends,en
749,confirmation bjp rss control facebook india,en
750,,hi
751,best wishes shri sharad pawar birthday,en
752,,hi
753,let salute farmers let rest laurels let pay tribute great tamil poet subramania bharathiar th birth anniversary today withdrawing anti farmer laws,en
754,,hi
755,,hi
756,,hi
757,,hi
758,mr modi reform theft need get rid democracy,en
759,,hi
760,,hi
761,adani ambani farm laws revoked nothing less acceptable,und
762,today remember dr ambedkar contribution nation building working make india free forms discrimination truthful way pay homage,en
763,,hi
764,msp apmc pm,hi
765,,hi
766,today party meeting hope pm clarifies every indian get free covid vaccine pm,und
767,,hi
768,pm everyone get vaccine bjp bihar elections everyone bihar get free vaccine goi never said everyone get vaccine exactly pm stand,en
769,,hi
770,,hi
771,alternative strategic viewpoint goi must take note,en
772,,hi
773,pm,hi
774,campaign,hi
775,,hi
776,,hi
777,bjp rss vision india adivasis dalits access education stopping scholarships sc st students way ends justifying means,en
778,fir,hi
779,pm,hi
780,pm modi india economy officially recession first time ever importantly crore people still looking work mnrega economy ordered grow diktats pm needs first understand basic idea,en
781,pm,hi
