,tweet,language,mentions
36,worship forms divine feminine shakti let us strive make safer women hours across year demand many societies groups expert lady cop teams hold ground self defence workshops message shakti register,en,[]
37,rt cases shared inspire many others report offenders urge compassionate towards v,und,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
38,rt helped nab cyber bully reporting police let chain snatcher get away easily,und,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
39,rt,mr,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
40,rt smiling face smiling eyes fraudsters love otp come creative reason,en,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
41,rt meet dynamic ladies member strong squad respond women distress telephone receiver women helplin,und,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
42,rt ccan guess de pune police station building entered th year yesterday,mr,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
43,happy announce opening wagholi police chowky congratulations wagholikars amp keep persistent efforts make better place live,und,[]
44,rt,mr,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
45,rt huge shout hardworking autowalla follows rule,en,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
46,rt spot differences two similar looking pictures auto rickshaw driver,und,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
47,rt could identify auto rickshaw red flag picture real red flags taking auto road,en,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
48,rt us would loved see beloved manache h,und,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
49,rt,mr,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
50,hope preparing quiet tomorrow family like us click camera flash eco friendly ganpati visarjan sarvjanik tank home,und,[]
51,rt selfie cross mark folded hands check mark button pune need,und,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
52,rt duty police officer surya bomb detection amp disposal squad pune posted sahakarnagar ganpati mandal payin,und,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
53,rt singham dabang zanjeer reel life cops well known thanks love real life,und,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
54,rt folded hands means lord isha multitude people gana every aspect,und,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
55,rt,mr,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
56,,mr,[]
57,rt remembering capt pvc th birthday,mr,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
58,rt qrt commandos jump action w,und,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
59,rt saluting every indian braveheart india putting life stake keep us safe,und,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
60,rt fasten seat belts amp get ready action qrt commandos,und,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
61,rt grow legacy original captain vikram batra pvc strive create many shershahs,und,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
62,rt quick response team qrt middle dai,und,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
63,flexed biceps information coming next keep watching space,mr,[]
64,pune name special team comprising hand picked amp highly trained commandos ye dil maange info,und,[]
65,shield shield shield shield shield shield shield shield keycap first line defence keycap heavily armed keycap aggressive keycap top level fitness keycap always ready danger coming soon,und,[]
66,rt pune police wishes love peace prosperity auspicious,und,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
67,rt deal protect protect animal friends dog squad k,und,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
68,rt dog squad dedicates life protect humankind let us support protect animal kind becaus,und,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
69,rt pune thank coming watch us perform google meet amp instagram live today,und,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
70,rt today international dog day virtual meet amp greet dog squad service dog scheduled today fr,und,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
71,rt dog,mr,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
72,rt popular demand virtual meet amp greet dog squad service dog thursday aug pm p,und,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
73,dog squad remind legged wonder life dog cat yes love see let share pictures whose selfless love makes ok despite daily stress,en,[]
74,rt thank pune love want meet dog squad members announcing virtual,en,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
75,rt k,und,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
76,lot asked dog squad help solving cases featuring cases give idea work let us know questions k service dog,und,[]
77,tell handlers taking group picture start grooming dogs make look perfect rather selves grinning face big eyes,und,[]
78,rt love pride amp emotions galore words fall short describe special relationship squad members,und,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
79,,mr,[]
80,rt grinning squinting face agree need call jaadoo alien flying saucer already many special beings earth globe showing asia australia superpow,en,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
81,special bond k team sharp brave amp things make lifeline heart little kids treated like one everyday,und,[]
82,hope future generations get chance know real life heroes like leo amp connect well,und,[]
83,say hi members dog squad,mr,[]
84,rt tumhari shaktiyon ka galat istemaal huya mein dog squad service dog ki shaktiyon ka hum sahi istema,und,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
85,god gifted hard working fiercely loyal need say coolest team squad guide dog police officer watch video,und,[]
86,one special campaigns covering special team coming soon excited introduce,en,[]
87,details coming soon keep watching space,und,[]
88,k ko suspect mil gaya guess police team referring thinking face,mr,[]
89,golden st place medal hour comment guess reference post grinning face,mr,[]
90,came end yest lots learn every player folded hands key learnings picked champs india incorporate daily life,en,[]
91,always sports event stands undying human spirit also equality race religion languages gender small way let us build better peaceful world even testing times,en,[]
92,rt two wheeler rider deaths reported last year fatal accidents e wearing h,und,"[{'screen_name': 'punecitytraffic', 'name': 'pune city traffic police', 'id': '1029723840480464896'}]"
93,st place medal pune police congratulates golden boy neeraj chopra india st ever athletics india,und,[]
94,pune despite daily challenges lot thankful naturally beautiful city good weather nice people agree weekend full gratefulness,und,[]
95,result may side incredible effort indian women team father girl heart swelled pride see girls fighting like tigresses win princess light skin tone field hockey india,en,[]
96,field hockey india blue heart rd place medal morning congratulations indian men team winning olympic bronze billion hearts pune police salutes dedication fighting spirit,en,[]
97,rt big shout shopkeepers obeying rules despite strict restrictions handy,en,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
98,rt show field hockey india blue heart,und,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
99,pune feel get caught chaos everyday life lose connection near dear ones wish weekend full mindfulness enjoy,en,[]
100,walkie talkie works use satellites detect crime children impressed us quality devices also suggest topics interest next session,und,[]
101,thank nice see happy faces putting summary video session shortly kids questions ask comments,en,[]
102,rt flag fly wind moves flies last breath soldier died protecting,en,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
103,rt world war era devices wireless sets used mt everest expedition taking school students,en,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
104,watch journey communication moving,und,[]
105,know direct call top world achieved providing communication summit gp wt,en,[]
106,wireless communication department made sure pune amp india police force always date watch used since,en,[]
107,rt wishing everyone happy bakrid,hi,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
108,rt folded hands medium light skin tone,mr,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
109,wireless communication department made modernisation achievable pune amp india police force watch used since,und,[]
110,know ode beginning commissioner office still uses transmit messages every sunday,und,[]
111,dial get message travels many devices playing vital role invisible arena,und,[]
112,punekars let us get technical coming week history wireless telecommunications,und,[]
113,inauguration multipurpose hall renovation police gym modern amenities,mr,[]
114,,mr,[]
115,rt encouraging see results solid collaboration citizens force ribbon cutting,en,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
116,report golden hour whatsapp helplines cross mark miss crucial time fraud takes place,und,[]
117,golden hour alarm clock cyber cell whatsapp helpline live sharing screenshots new helplines highly increase chances amount recovery,und,[]
118,nice thumbs medium skin tone invite share content style comments movie webseries sports feel help others cyber awareness retweet good ones today,en,[]
119,rt realise friend kept transferring money thinking financial trouble,en,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
120,help need money urgently big trouble save money fall lies double exclamation mark beware fake fb profiles double exclamation mark,und,[]
121,glad found impactful,en,"[{'screen_name': 'anuragkashyap72', 'name': 'anurag kashyap', 'id': '2915766225'}]"
122,buy latest iphone k order ratnagiri mangoes free home delivery blindly believe every ad see online,und,[]
123,rt loan fraudsters come triple sawari holding guns bombs main weapons cheat v low,und,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
124,give loan get loan,mr,[]
125,rt cross mark believe anything nri matrimonial site tells,und,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
126,face tears joy may family man still need count sardar khan days drive point home cyber crime,en,[]
127,looking tall beautiful girl yrs nri boy let fraudsters matrimonial websites turn dreams nightmares,und,[]
128,rt victim paying advance scooty listed olx quikr half price woman facepalming,und,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
129,royal enfield bullet classic rs u see unbelievable deals olx quikr believe report,und,[]
130,suggestions raise covered topics week check mark button card fraud check mark button fraud check mark button check mark button job fraud topics let us know else cover,und,[]
131,,mr,[]
132,,mr,[]
133,rt jo log fake work home job offer ke sms bhejte hai unko cyber frauds kahte hai,und,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
134,hope extra earning many ended losing money lost could helped start business,und,[]
135,rt easy target like sultan unknown woman sending friend request might actually one backhand index pointing light skin tone,und,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
136,hi dear want chat beware offenders online shaming extortion could next victim,en,[]
137,rt want end chasing definite fraud stop calling unverified nos claim supply,und,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
138,remdesivir available call given message gpay delivery amp loved ones deserve best,und,[]
139,rt criminal walk office house rob like call bank staff,und,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
140,madam kyc pending need otp careful soon give permission lose control game,und,[]
141,rt cyber criminals look many opportunities get,en,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
142,cyber criminals always tempt make mistakes suspicion give permission,und,[]
143,rt good weekend information coming soon,und,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
144,rt upside face hint answer number days every week,und,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
145,duty towards citizens compile constructive suggestions awareness committees address coming days keep coming listening,en,[]
146,shared snippets actions criminals week share thoughts making city safer,und,[]
147,easily available website,en,[]
148,criminal intentions accused oct onwards avg per month,und,[]
149,rt criminals watch amp deported outside commissionerate,und,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
150,mpda criminals jailed last months,mr,[]
151,rt,mr,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
152,last months notorious w booked message strong amp clear,und,[]
153,rt,mr,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
154,yes reena engaging citizens structured manner make city safer top agenda sharing data figures next set posts help citizens get sneak peak efforts welcome everyone suggestions,en,[]
155,gone externee prevent crime curb criminals safer city,und,[]
156,like never,mr,[]
157,rt police visit spot often ask marshalls report geotagged images spots speci,und,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
158,let us come together keep stable well done,mr,[]
159,rt tried breaking unlock level rules first days quick activity sheet,en,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
160,rt,und,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
161,rt order way behind every message received hard working delivery,en,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
162,rt,mr,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
163,good news june e pass required change timings shops restaurants malls precautions face medical mask,und,[]
164,rt mission level let precaution,und,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
165,yes police teams already urge citizens stick unlock timings given obey rules,en,[]
166,unlock level days lockdown thoughts achieve level,und,[]
167,name top safest places right wordle psst amp smart enough find sharp enough guess message begun despite downswing pune still reporting daily new cases,en,[]
168,rt whether suspicious fictitious telephone receiver,und,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
169,us small bit like nurture nature better future,mr,[]
170,rt,mr,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
171,rt see hear anything suspicious c,und,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
172,rt cyber crime happen,und,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
173,rt direct numbers,und,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
174,rt good morning punekars sun face also forget whether suspicious fictitious,und,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
175,rt post specially dedicated crowd pune whose work home woes legendary like thi,en,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
176,missing college hang outs friends exams grimacing face else days left excuses stopped funny worked policemen nakabandis pls patient stay home folded hands,en,[]
177,rt zindagi mein cheez ke peeche nahi bhaagne ka bus oncoming bus train locomotive aur fake vaccine apps,en,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
178,rt oncoming bus locomotive mobile phone syringe cross mark,mr,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
179,rt punekars virus study schools going stick knows sad relieved face know tables well,en,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
180,rt sun face camera flash,mr,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
181,heart whelming see much love amp concern raja looking sentiment whole team went check fed amp taken care want stay home till assured taking good care raja,en,[]
182,ode special police officer raja three legged dog balgandharva nakabandi vigilant companion true friend officers throughout lockdown,en,[]
183,even though going difficult times help also everywhere,en,[]
184,rt get hooked phishers think click,en,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
185,received overwhelming response special police officers spo program become spo follow given steps footprints getting response reach directly,en,[]
186,rt barricades amp act kindness heartwarming slice life citizens volunteered take care,en,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
187,done,en,[]
188,token number please,en,[]
189,offences registered persons picked send jail apart vehicles seized rounding going,en,[]
190,many asked relevant important question sharing thoughts,en,[]
191,rt,mr,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
192,guess probability flat residents safe flats residents tested covid today flat residents step lockdown followed safety protocols,en,[]
193,rt,mr,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
194,rt acts kindness seen unseen moments let compassion responsibility hardship overshadow difficult ti,en,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
195,punekars virus stops spreading restrict travelling choice hands keep roads clear frontline workers already vulnerable,en,[]
196,scientist light skin tone man police officer light skin tone,mr,[]
197,getting lot questions e pass let address applied e pass shows pending rejected status may comment tweet details amp bring notice ensure review application,en,[]
198,lots learning thank sharing thoughts,en,[]
199,involvement young citizens police duties first let pandemic take time build help others future,en,[]
200,involvement young citizens police duties young warriors many programs traffic police social initiatives counselling nakabandi etc soon put together information website regarding matter,en,[]
201,young citizens get involved help city police question keeps arising interactions social media responding one throughout day,en,[]
202,rt sun face,mr,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
203,rajesh stay home means miss value adding grimacing face office lingo pune,en,[]
204,views questions later obligated respond wide spread inquisitiveness wellbeing pune ama earnest duty answer main questions found common coming week addressing,en,[]
205,pimpri chinchwad case,ht,[]
206,approved,en,[]
207,approved,en,[]
208,record found apply,en,[]
209,token number please,en,[]
210,apply put token number please,en,[]
211,thank engaging dialogue via ama addressed several queries remained unanswered made note let continue developing better understanding us,en,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
212,periodic reminder us value life please stay safe fill blanks pass message,en,[]
213,thank much overwhelming response ask anything interaction instagram looking forward many interactions platforms online till beat virus meet celebrate,en,[]
214,rt act kindness straight heart straight heart patel kaka offering reprise officers nakaba,en,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
215,good evening pune ask anything handle insta live,en,"[{'screen_name': 'instagram', 'name': 'instagram', 'id': '180505807'}, {'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
216,barricades slice life,mr,[]
217,punekars monday motivation start week navigating times please share thoughts,en,[]
218,rt many messages could understand pls let us know missed language convince lockdow,en,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
219,rt good morning pune new dawn duty days maykeep passing never let sun set resolve,en,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
220,rt folded hands medium skin tone,mr,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}, {'screen_name': 'cmomaharashtra', 'name': 'cmo maharashtra', 'id': '2597666894'}, {'screen_name': 'pmcpune', 'name': 'pmc care', 'id': '3197062501'}, {'screen_name': 'pcmcindiagovin', 'name': 'pcmc', 'id': '1715252378'}, {'screen_name': 'punecitytraffic', 'name': 'pune city traffic police', 'id': '1029723840480464896'}]"
221,richa lost colleagues battle understand importance personnel donated plasma donated blood till continue much days come,en,[]
222,e pass applications got approved others rejected invalid reasons pls apply absolutely necessary detailed circular pls refer,en,"[{'screen_name': 'cmomaharashtra', 'name': 'cmo maharashtra', 'id': '2597666894'}, {'screen_name': 'mumbaipolice', 'name': 'mumbai police', 'id': '4573405572'}]"
223,many life saving item names spot backhand index pointing light skin tone sanjeevani herb put helmet rode scooty motor scooter shop buy biscuits parachute coconut oil pav butter make maska bun bagel got back home house garden,en,[]
224,please share token,en,[]
225,punekars lockdown extended till th may interstate inter district travel require e pass till date approximately e passes issued travel absolutely required,en,[]
226,big shout special police officers share pictures let make today memorable inspiring tag fellow spo,en,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
227,rt acts kindness relentless face heat traffic policeman taking short respite heat amongst spec,en,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
228,worldwide people sending messages solidarity india tough challenge let us employ caution kindness come together tough times shall pass collective efforts,en,[]
229,excuse someone reality let share pain amp reduce make excuse amp misuse,und,[]
230,total force policemen women far persons affected covid pensive face nevertheless continue frontline,en,[]
231,barricades slice life captured dawn left elderly police official ends long night shift right man goods start day,en,[]
232,cop woman police officer light skin tone fined offence guess today nitin person pouting arun man light skin tone red hair ria woman health worker rahul person tuxedo friendly grocer old man light skin tone shop old man light skin tone person pouting kaise ho old man light skin tone man light skin tone red hair moochein rakh li wah old man light skin tone woman health worker namaste madam old man light skin tone person tuxedo na cigarette nahi hai,en,[]
233,rt good morning pune hats punekars staying indoors especially praise,en,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
234,punekars police force also grandparents get stay home protect safety comes please stay streets,en,[]
235,brace really unbelievable excuses mala jau dya na baher,und,[]
236,rt event new lockdown guidelines punekars let kind,en,"[{'screen_name': 'cppunecity', 'name': 'cp pune city', 'id': '841957628204969984'}]"
237,event new lockdown guidelines punekars let kind,en,[]
238,also trying find venturing reason aware result violating lockdown maybe smarter ones pls find let others know comments today onward,en,[]
239,excuses excuses excuses draw line punekars imagination safety stay tuned encyclopedia excuses,en,[]
240,rt oh un possible stay safe among gatherings anyway stay home r,en,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
241,rt,mr,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
242,barricades slice life first many captures life streets pune,en,[]
243,come across anyone illegally selling emergency medicine high rates inform us ensure pay high price spread word,en,[]
244,rt good morning pune lot us safe home plenty comfort streets full brave warrior,en,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
245,help arun reach bored friend raghav middle lockdown p manage solve comment let us know according message behind,en,[]
246,pune watch let us know side us represent clip team skull crossbones team shield let folded hands,en,[]
247,,mr,[]
248,rt solve puzzle face medical mask face medical mask face medical mask face medical mask smirking face smirking face face thermometer face thermometer face thermometer hospital hospital dollar banknote dollar banknote,en,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
249,rt haha lol watching ad ball let us pick mid road brawl makes traffic crawl remember,en,"[{'screen_name': 'punecitytraffic', 'name': 'pune city traffic police', 'id': '1029723840480464896'}]"
250,rt changing times revolution bicycle patrolling conducted pune police mg road express photo ashis,en,"[{'screen_name': 'noworriescycle', 'name': 'no worries cycles', 'id': '966221289454231552'}]"
251,rt anything else venn ideal citizen,en,"[{'screen_name': 'cppunecity', 'name': 'cp pune city', 'id': '841957628204969984'}]"
252,anything else venn ideal citizen,en,[]
253,rt simple guide stay healthy fit pandemic,en,"[{'screen_name': 'cppunecity', 'name': 'cp pune city', 'id': '841957628204969984'}]"
254,,mr,[]
255,simple guide stay healthy fit pandemic,en,[]
256,rt joke funny long,en,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
257,rt feels hot wear mask used words recently video,en,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
258,always hated waiting trust us definitely going like test positive,en,[]
259,restart real life one virus forget wear masks,en,[]
260,,mr,[]
261,rt presenting kaun bachega corona se quiz type answer comments hint answer wilder wild,en,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
262,rt careful forwarding light hearted jokes fake news might cost heavy comment favouri,en,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
263,absolutely space tom fool ery safety,en,[]
264,,mr,[]
265,rt choose face medical mask face thermometer house garden hospital syringe thermometer,en,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
266,feeling safe remove outdoors,en,[]
267,rt saw grinning squinting face people commented ship ship emoji last post careful next ti,en,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
268,wishing punekars happy safe covid free holi,en,[]
269,rt says colours safety go hand hand holi wishing punekars happy safe covid free holi,en,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
270,rt leave ship emoji ship comments picture reminds wrong u turn taken,en,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
271,rt katrina look alike sheela might chatting may fraudster careful interact online,en,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
272,big round applause responsible citizens leading example supporting pune fight virus let drop guards pune let continue play role till battle,en,[]
273,,mr,[]
274,rt th march massive fire broke historical chhatrapati shivaji market built heart,en,"[{'screen_name': 'punecitypolice', 'name': 'pune police', 'id': '4707327216'}]"
