,tweet,language,mentions
22,h e ahmed ali al sayegh minister of state uae spoke in the inaugural session of the th indian ocean conference organised by india foundation in abu dhabi uae,en,[]
23,shri ram madhav member board of governors india foundation delivered the welcome address at the th indian ocean conference amp highlighted the importance of indian ocean conference as a key platform to discuss issues that are affecting d indian ocean region,en,"[{'screen_name': 'rammadhav_rss', 'name': 'ram madhav', 'id': '751400048'}]"
24,glimpses from the inaugural session of the th organised by india foundation in abu dhabi uae h e gotabaya rajapaksa is delivering the inaugural address in the live video link,en,"[{'screen_name': 'gotabayar', 'name': 'gotabaya rajapaksa', 'id': '3191855185'}]"
25,indian ocean conference is a platform to deliberate on critical issues that are affecting all of us in d indian ocean region h e gotabaya rajapaksa president of sri lanka is delivering the inaugural address in the th indian ocean conference,en,"[{'screen_name': 'gotabayar', 'name': 'gotabaya rajapaksa', 'id': '3191855185'}]"
26,watch live h e gotabaya rajapaksa president sri lanka is delivering the inaugural address in the th indian ocean conference organised by india foundation in abu dhabi uae live video link,en,"[{'screen_name': 'gotabayar', 'name': 'gotabaya rajapaksa', 'id': '3191855185'}]"
27,h e gotabaya rajapaksa president sri lanka is delivering the inaugural address in the th indian ocean conference organised by india foundation in abu dhabi uae,en,"[{'screen_name': 'gotabayar', 'name': 'gotabaya rajapaksa', 'id': '3191855185'}]"
28,h e ahmed ali al sayegh minister of state uae is speaking in the th indian ocean conference organised by india foundation in abu dhabi uae,en,[]
29,indian ocean conference is a platform for policy makers who shape the future policies in the indian ocean region shri ram madhav member board of governors india foundation at the th indian ocean conference,en,"[{'screen_name': 'rammadhav_rss', 'name': 'ram madhav', 'id': '751400048'}]"
30,indian ocean is the most happening region today indian ocean is the epicentre of global power axis today shri ram madhav member board of governors india foundation at the th indian ocean conference watch live,en,"[{'screen_name': 'rammadhav_rss', 'name': 'ram madhav', 'id': '751400048'}]"
31,th indian ocean conference ioc inaugural session,ca,[]
32,,und,[]
33,an engaging q amp a session at the pre conference workshop on ecology and economy,en,[]
34,admiral shekhar sinha felicitated speakers of the pre conference workshop session in ecology at the th indian ocean conference organised by india foundation,en,"[{'screen_name': 'shekhar19541', 'name': 'shekhar sinha', 'id': '2892872966'}]"
35,pre conference workshop on ecology,en,[]
36,,und,[]
37,,und,[]
38,,und,[]
39,thought provoking discussion at the pre conference workshop on,en,[]
40,insightful discussion in the pre conference workshop on ecology at the th indian ocean conference organised by india foundation in abu dhabi uae,en,[]
41,,und,[]
42,,und,[]
43,glimpses from pre conference workshop on,en,[]
44,glimpses from pre conference workshop on ecology,en,[]
45,th edition of indian ocean conference will be inaugurated today evening days conference on december will focus on ecology economy and epidemic watch live on india foundation s youtube channel,en,[]
46,pre conference workshop on ecology and economy will start soon,en,[]
47,,und,[]
48,,und,[]
49,,und,"[{'screen_name': 'ltgenarunsahni', 'name': 'arun sahni', 'id': '749455494029447172'}, {'screen_name': 'pkroyiaf', 'name': 'air marshal p k roy', 'id': '2770361388'}]"
50,admiral shekhar sinha and maj gen dhruv c katoch at the indian ocean conference,en,"[{'screen_name': 'shekhar19541', 'name': 'shekhar sinha', 'id': '2892872966'}, {'screen_name': 'dhruv_ck', 'name': 'dhruv c katoch', 'id': '4900319414'}]"
51,,und,[]
52,shri ram madhav member board of governors india foundation and member organising committee th indian ocean conference reviews the final preparation for the conference will be inaugurated today evening in abu dhabi uae,en,"[{'screen_name': 'rammadhav_rss', 'name': 'ram madhav', 'id': '751400048'}]"
53,over the years india foundation s flagship global conference indian ocean conference has become a platform for collective action and cooperation to advance peace and security in the india ocean region,en,[]
54,,und,[]
55,maldives vice president faisal naseem will address the th indian ocean conference in abu dhabi uae,en,"[{'screen_name': 'faisalnasym', 'name': 'faisal naseem', 'id': '309821773'}]"
56,,und,[]
57,,und,[]
58,,und,[]
59,,und,[]
60,sri lankan president will address the inaugural session of the th indian ocean conference organised by india foundation in abu dhabi uae,en,"[{'screen_name': 'gotabayar', 'name': 'gotabaya rajapaksa', 'id': '3191855185'}]"
61,has emerged as a vibrant forum for discussing important global and strategic issues in the indian ocean region over the years th edition of the conference will be inaugurated today evening will focus on ecology economy and epidemic,en,[]
62,pre conference workshop on at the indian ocean conference today afternoon speakers manjeet kriplani ashok sajjanhar rohan gunaratna asha jadeja motwani,in,"[{'screen_name': 'manjeetkrip', 'name': 'manjeet kripalani', 'id': '1364904476'}, {'screen_name': 'asajjanhar', 'name': 'ashok sajjanhar', 'id': '75061307'}, {'screen_name': 'rohangunaratna', 'name': 'rohan gunaratna', 'id': '3243997028'}, {'screen_name': 'ashajadeja325', 'name': 'asha jadeja motwani 🇮🇳🇺🇸', 'id': '44699176'}]"
63,pre conference workshop on at the india ocean conference today afternoon speakers phil midland vice admiral anup singh retd jagjeet sareen lt gen arun sahni,en,"[{'screen_name': 'jagjeetsareen', 'name': 'jagjeet singh sareen', 'id': '4581728896'}, {'screen_name': 'ltgenarunsahni', 'name': 'arun sahni', 'id': '749455494029447172'}]"
64,,und,[]
65,ms condoleezza rice former secretary of state usa will address the th indian ocean conference today evening,en,"[{'screen_name': 'condoleezzarice', 'name': 'condoleezza rice', 'id': '388555493'}]"
66,india foundation s flagship global conference on geopolitics and geo economics in the indian ocean region will start today evening in abu dhabi uae delegates from countries will participate in this year s conference,en,[]
67,h e josaia voreqe bainimarama hon ble prime minister fiji will speak in the inaugural session of the th indian ocean conference organised by india foundation in abu dhabi uae today evening,en,"[{'screen_name': 'fijipm', 'name': 'frank bainimarama', 'id': '395425451'}]"
68,h e mr sayyid badr bin hamad bin hamood al busaidi foreign minister oman will speak in the inaugural session of the th indian ocean conference organised by india foundation in abu dhabi uae today evening,en,[]
69,h e ahmed ali al sayegh minister of state uae will speak in inaugural session of the th indian ocean conference organised by india foundation in abu dhabi uae,en,[]
70,dr s jaishankar external affairs minister govt of india will speak in the inaugural session of the th indian ocean conference organised by india foundation in abu dhabi uae today evening,en,"[{'screen_name': 'drsjaishankar', 'name': 'dr. s. jaishankar', 'id': '859363899291742210'}, {'screen_name': 'meaindia', 'name': 'arindam bagchi', 'id': '441636351'}, {'screen_name': 'indiandiplomacy', 'name': 'indian diplomacy', 'id': '164213375'}, {'screen_name': 'ioc_if', 'name': 'indian ocean conf', 'id': '756363617088462848'}]"
71,h e faisal naseem hon ble vice president of maldives will address the inaugural session of the th indian ocean conference organised by india foundation in abu dhabi uae,en,"[{'screen_name': 'faisalnasym', 'name': 'faisal naseem', 'id': '309821773'}]"
72,hon ble president of sri lanka h e gotabaya rajapaksa will address the inaugural session of the th indian ocean conference organised by india foundation in abu dhabi uae,en,"[{'screen_name': 'gotabayar', 'name': 'gotabaya rajapaksa', 'id': '3191855185'}]"
73,starting today evening global leaders amp ministers will address the th organised by india foundation on ideas amp strategies that will shape tomorrow s global arrangements in a new international order in indian ocean region,en,[]
74,,und,[]
75,,und,[]
76,,und,[]
77,preparations in full swing for inauguration of th indian ocean conference in abu dhabi uae today evening delegates from countries will participate in the conference,en,[]
78,,und,[]
79,abu dhabi sri lankan president indian foreign minister to address the th indian ocean conference,en,"[{'screen_name': 'gotabayar', 'name': 'gotabaya rajapaksa', 'id': '3191855185'}, {'screen_name': 'drsjaishankar', 'name': 'dr. s. jaishankar', 'id': '859363899291742210'}, {'screen_name': 'khaleejtimes', 'name': 'khaleej times', 'id': '18860860'}]"
80,,und,[]
81,sri lankan president leaves for abu dhabi to attend the indian ocean conference via,en,"[{'screen_name': 'gotabayar', 'name': 'gotabaya rajapaksa', 'id': '3191855185'}, {'screen_name': 'lankaxpress', 'name': 'ankaxpress', 'id': '414983792'}]"
82,,und,[]
83,foreign secretary of nepal will address the th indian ocean conference,en,"[{'screen_name': 'paudyalbr', 'name': 'bharat paudyal', 'id': '1210692306'}]"
84,,und,[]
85,speakers participation from countries delegates this year s indian ocean conference will focus on ecology economy and epidemic watch live on india foundation s youtube channel,en,[]
86,india foundation is ready to host th edition of the in abu dhabi uae days conference on december will focus on ecology economy and epidemic,en,[]
87,,und,[]
88,,und,[]
89,maldives vice president faisal naseem is headed to united arab emirates uae for the fifth indian ocean conference ioc,en,"[{'screen_name': 'meaindia', 'name': 'arindam bagchi', 'id': '441636351'}, {'screen_name': 'indiandiplomacy', 'name': 'indian diplomacy', 'id': '164213375'}, {'screen_name': 'ioc_if', 'name': 'indian ocean conf', 'id': '756363617088462848'}]"
90,,und,[]
91,,und,[]
92,,und,[]
93,,und,[]
94,sri lankan president h e and sri lanka s former prime minister ranil wickremesinghe to attend indian ocean conference in uae,en,"[{'screen_name': 'gotabayar', 'name': 'gotabaya rajapaksa', 'id': '3191855185'}, {'screen_name': 'rw_unp', 'name': 'ranil wickremesinghe', 'id': '2913830408'}, {'screen_name': 'meaindia', 'name': 'arindam bagchi', 'id': '441636351'}, {'screen_name': 'indiandiplomacy', 'name': 'indian diplomacy', 'id': '164213375'}, {'screen_name': 'ioc_if', 'name': 'indian ocean conf', 'id': '756363617088462848'}]"
95,eam to address indian ocean conference in uae on dec,en,"[{'screen_name': 'drsjaishankar', 'name': 'dr. s. jaishankar', 'id': '859363899291742210'}, {'screen_name': 'meaindia', 'name': 'arindam bagchi', 'id': '441636351'}, {'screen_name': 'indiandiplomacy', 'name': 'indian diplomacy', 'id': '164213375'}, {'screen_name': 'ioc_if', 'name': 'indian ocean conf', 'id': '756363617088462848'}]"
96,india s external affairs minister dr s jaishankar to address indian ocean conference in uae,en,"[{'screen_name': 'drsjaishankar', 'name': 'dr. s. jaishankar', 'id': '859363899291742210'}, {'screen_name': 'meaindia', 'name': 'arindam bagchi', 'id': '441636351'}, {'screen_name': 'indiandiplomacy', 'name': 'indian diplomacy', 'id': '164213375'}, {'screen_name': 'ioc_if', 'name': 'indian ocean conf', 'id': '756363617088462848'}]"
97,,und,[]
98,taliban rule in afghanistan foreign policy dilemma for international community an article by dr saroj kumar rath published on,en,"[{'screen_name': 'sarojrath', 'name': 'saroj kumar rath', 'id': '356283679'}]"
99,arabs in kashmir investors not missionaries an article by shri k n pandita published on,en,[]
100,shri mohanji bhagwat parampujya sarsanghchalak rashtriya swayamsevak sangh visited the india foundation office today in delhi and interacted with the india foundation team,en,"[{'screen_name': 'drmohanbhagwat', 'name': 'mohan bhagwat', 'id': '1127906922416316416'}, {'screen_name': 'rssorg', 'name': 'rss', 'id': '310239584'}]"
101,europe s transition to post democracy lessons for india part ii an article by mr come carpentier published on,en,"[{'screen_name': 'comecarpentier', 'name': 'come carpentier', 'id': '4123406774'}]"
102,europe s transition to post democracy lessons for india part i an article by mr come carpentier published on,en,"[{'screen_name': 'comecarpentier', 'name': 'come carpentier', 'id': '4123406774'}]"
103,watch ms rami n desai in conversation with mr usman majid full episode video link,en,"[{'screen_name': 'ramindesai', 'name': 'rami niranjan desai', 'id': '1000311006017421312'}, {'screen_name': 'usman_majid1', 'name': 'usman majid', 'id': '1160266808'}]"
104,india foundation journal november december focus india s neighbourhood articles by shri dr a k abdul momen sandhya jain amalendu misra harkirat singh raksha pandey download link,en,"[{'screen_name': 'rammadhav_rss', 'name': 'ram madhav', 'id': '751400048'}, {'screen_name': 'vijayvaani', 'name': 'sandhya jain', 'id': '542385412'}, {'screen_name': 'gauried', 'name': 'gaurie dwivedi', 'id': '2308054499'}, {'screen_name': 'asajjanhar', 'name': 'ashok sajjanhar', 'id': '75061307'}, {'screen_name': 'dhruv_ck', 'name': 'dhruv c katoch', 'id': '4900319414'}]"
105,a world union based on resurgent asianism an article by shri ram madhav member board of governors india foundation published in the nov dec issue of the india foundation journal,en,"[{'screen_name': 'rammadhav_rss', 'name': 'ram madhav', 'id': '751400048'}]"
106,read the interview of shri ranil wickremesinghe former prime minister of sri lanka with shri nitin gokhale published in the nov dec issue of the india foundation journal,en,"[{'screen_name': 'rw_unp', 'name': 'ranil wickremesinghe', 'id': '2913830408'}, {'screen_name': 'nitingokhale', 'name': 'nitin a. gokhale', 'id': '72539202'}]"
107,bangladesh an epic saga of an indomitable nation an article by dr a k abdul momen hon ble foreign minister of bangladesh published in the nov dec issue of the india foundation journal,en,[]
108,theft of cultural properties is cultural vandalism an article by mr rijul singh uppal published on,en,"[{'screen_name': 'rijuluppal', 'name': 'rijul singh uppal', 'id': '62712614'}]"
109,th indian ocean conference dates december registration link details,en,[]
110,the row of lights that illumine identity amp unity an article by pavithra srinivasan published on,en,"[{'screen_name': 'beingpavithras', 'name': '🌷pavithra srinivasan🌷', 'id': '962261671057264640'}]"
111,dr shristi pukhrem senior research fellow india foundation participated as a panelist in a webinar on understanding the asean summits organised by asean india center aic at in collaboration with the asian confluence shillong,en,"[{'screen_name': 'ris_newdelhi', 'name': 'ris', 'id': '3546343278'}]"
112,theft of cultural properties is cultural vandalism an article by mr rijul singh uppal published on,en,"[{'screen_name': 'rijuluppal', 'name': 'rijul singh uppal', 'id': '62712614'}]"
113,read the book review by maj gen dhruv c katoch director india foundation of of the book supersonic a thriller that rewrites history published in the nov dec issue of the india foundation journal,en,"[{'screen_name': 'dhruv_ck', 'name': 'dhruv c katoch', 'id': '4900319414'}]"
114,national security and individual liberty determining criminality for members of unlawful organisation an article by bhanu pratap singh sangyal and vijay k tyagi published in the nov dec issue of the india foundation journal,en,[]
115,bangladesh an epic saga of an indomitable nation an article by dr a k abdul momen hon ble foreign minister of bangladesh published in the nov dec issue of the india foundation journal,en,[]
116,read the interview of shri ranil wickremesinghe former prime minister of sri lanka with shri nitin gokhale published in the nov dec issue of the india foundation journal,en,"[{'screen_name': 'rw_unp', 'name': 'ranil wickremesinghe', 'id': '2913830408'}, {'screen_name': 'nitingokhale', 'name': 'nitin a. gokhale', 'id': '72539202'}]"
117,neighbourhood policy of modi government challenges and opportunities an article by amb ashok sajjanhar published in the nov dec issue of the india foundation journal,en,"[{'screen_name': 'asajjanhar', 'name': 'ashok sajjanhar', 'id': '75061307'}]"
118,political and economic challenges faced by nepal and its impact on indo nepal relations an article by raksha pandey published in the nov dec issue of the india foundation journal,en,[]
119,china s quest for world dominance amp its impact on india and the region an article by ms gaurie dwivedi journalist and author published in the nov dec issue of the india foundation journal,en,"[{'screen_name': 'gauried', 'name': 'gaurie dwivedi', 'id': '2308054499'}]"
120,future of india afghan relations an article by maj gen harkirat singh published in the nov dec issue of the india foundation journal,en,[]
121,non state actors and the emerging security challenges islamic state of khorasan in perspective an article by prof amalendu misra published in the nov dec issue of the india foundation journal,en,[]
122,afghanistan and the new grand chessboard an article by ms sandhya jain published in nov dec issue of the india foundation journal,en,"[{'screen_name': 'vijayvaani', 'name': 'sandhya jain', 'id': '542385412'}]"
123,a world union based on resurgent asianism an article by shri ram madhav member board of governors india foundation published in the nov dec issue of the india foundation journal,en,"[{'screen_name': 'rammadhav_rss', 'name': 'ram madhav', 'id': '751400048'}]"
124,a changing world order challenges for india an article by maj gen dhruv c katoch director india foundation published in the nov dec issue of india foundation journal,en,"[{'screen_name': 'dhruv_ck', 'name': 'dhruv c katoch', 'id': '4900319414'}]"
125,india foundation journal november december focus india s neighbourhood articles by shri dr a k abdul momen sandhya jain amalendu misra harkirat singh raksha pandey download link,en,"[{'screen_name': 'rammadhav_rss', 'name': 'ram madhav', 'id': '751400048'}, {'screen_name': 'vijayvaani', 'name': 'sandhya jain', 'id': '542385412'}, {'screen_name': 'gauried', 'name': 'gaurie dwivedi', 'id': '2308054499'}, {'screen_name': 'asajjanhar', 'name': 'ashok sajjanhar', 'id': '75061307'}, {'screen_name': 'dhruv_ck', 'name': 'dhruv c katoch', 'id': '4900319414'}]"
126,watch ms rami n desai in conversation with mr usman majid full episode video link,en,"[{'screen_name': 'ramindesai', 'name': 'rami niranjan desai', 'id': '1000311006017421312'}, {'screen_name': 'usman_majid1', 'name': 'usman majid', 'id': '1160266808'}]"
127,taliban issue defies solution an article by ms sandhya jain published on,en,"[{'screen_name': 'vijayvaani', 'name': 'sandhya jain', 'id': '542385412'}]"
128,announcement th indian ocean conference dates december registration link details,en,[]
129,watch the st episode of india foundation facebook interview series ms gaurie dwivedi journalist and author in conversation with ms n s nappinai supreme court advocate and founder cyber saathi video link,en,"[{'screen_name': 'gauried', 'name': 'gaurie dwivedi', 'id': '2308054499'}, {'screen_name': 'nsnappinai', 'name': 'n s nappinai - cyber saathi©', 'id': '584565831'}]"
130,delhi declaration merits pragmatic analysis an article by shri k n pandita published on,en,[]
131,rt taliban issue defies solution sandhya jain,en,"[{'screen_name': 'vijayvaani', 'name': 'sandhya jain', 'id': '542385412'}]"
132,taliban issue defies solution an article by ms sandhya jain published on,en,"[{'screen_name': 'vijayvaani', 'name': 'sandhya jain', 'id': '542385412'}]"
133,announcement th indian ocean conference dates december registration link details,en,[]
134,watch ms rami n desai in conversation with mr usman majid full episode video link,en,"[{'screen_name': 'ramindesai', 'name': 'rami niranjan desai', 'id': '1000311006017421312'}, {'screen_name': 'usman_majid1', 'name': 'usman majid', 'id': '1160266808'}]"
135,,und,[]
136,a tale of two talks india pushes for afghan solution as pakistan seeks legitimacy for taliban an article by shri alok bansal director india foundation published in,en,"[{'screen_name': 'firstpost', 'name': 'firstpost', 'id': '256495314'}]"
137,dhamma and the pandemic address in the valedictory session of published as an article by shri pema khandu hon ble chief minister of arunachal pradesh in newspaper article link,en,"[{'screen_name': 'pemakhandubjp', 'name': 'pema khandu པདྨ་མཁའ་འགྲོ་།', 'id': '755271973278711808'}, {'screen_name': 'indianexpress', 'name': 'the indian express', 'id': '38647512'}]"
138,rt watch the teaser ms rami n desai in conversation with shri usman majid,en,"[{'screen_name': 'insightwithrami', 'name': 'insight', 'id': '1414471780001992706'}, {'screen_name': 'ramindesai', 'name': 'rami niranjan desai', 'id': '1000311006017421312'}, {'screen_name': 'usman_majid1', 'name': 'usman majid', 'id': '1160266808'}]"
139,watch the teaser ms rami n desai in conversation with shri usman majid full episode will be released today,en,"[{'screen_name': 'ramindesai', 'name': 'rami niranjan desai', 'id': '1000311006017421312'}, {'screen_name': 'usman_majid1', 'name': 'usman majid', 'id': '1160266808'}]"
140,announcement th indian ocean conference dates december registration link details,en,[]
141,rt watch the teaser ms rami n desai in conversation with shri usman majid,en,"[{'screen_name': 'insightwithrami', 'name': 'insight', 'id': '1414471780001992706'}, {'screen_name': 'ramindesai', 'name': 'rami niranjan desai', 'id': '1000311006017421312'}, {'screen_name': 'usman_majid1', 'name': 'usman majid', 'id': '1160266808'}]"
142,,und,[]
143,shri jyotiraditya scindia union minister for civil aviation government of india addressed the session organised by india foundation the session was attended by ambassadors and diplomatic officials from countries,en,"[{'screen_name': 'jm_scindia', 'name': 'jyotiraditya m. scindia', 'id': '2892809359'}]"
144,th dharma dhamma conference india foundation nd day,en,[]
145,th dharma dhamma conference india foundation nd day,en,[]
146,th dharma dhamma conference india foundation nd day,en,[]
147,th dharma dhamma conference india foundation nd day,en,[]
148,th dharma dhamma conference india foundation nd day,en,[]
149,announcement india foundation is organising the th indian ocean conference in uae on december details,en,[]
150,read the book review by maj gen dhruv c katoch director india foundation of of the book supersonic a thriller that rewrites history published in the nov dec issue of the india foundation journal,en,"[{'screen_name': 'dhruv_ck', 'name': 'dhruv c katoch', 'id': '4900319414'}]"
151,national security and individual liberty determining criminality for members of unlawful organisation an article by bhanu pratap singh sangyal and vijay k tyagi published in the nov dec issue of the india foundation journal,en,[]
152,bangladesh an epic saga of an indomitable nation an article by dr a k abdul momen hon ble foreign minister of bangladesh published in the nov dec issue of the india foundation journal,en,[]
153,read the interview of shri ranil wickremesinghe former prime minister of sri lanka with shri nitin gokhale published in the nov dec issue of the india foundation journal,en,"[{'screen_name': 'rw_unp', 'name': 'ranil wickremesinghe', 'id': '2913830408'}, {'screen_name': 'nitingokhale', 'name': 'nitin a. gokhale', 'id': '72539202'}]"
154,neighbourhood policy of modi government challenges and opportunities an article by amb ashok sajjanhar published in the nov dec issue of the india foundation journal,en,"[{'screen_name': 'asajjanhar', 'name': 'ashok sajjanhar', 'id': '75061307'}]"
155,political and economic challenges faced by nepal and its impact on indo nepal relations an article by raksha pandey published in the nov dec issue of the india foundation journal,en,[]
156,china s quest for world dominance amp its impact on india and the region an article by ms gaurie dwivedi published in the nov dec issue of the india foundation journal,en,"[{'screen_name': 'gauried', 'name': 'gaurie dwivedi', 'id': '2308054499'}]"
157,future of india afghan relations an article by maj gen harkirat singh published in the nov dec issue of the india foundation journal,en,[]
158,non state actors and the emerging security challenges islamic state of khorasan in perspective an article by prof amalendu misra published in the nov dec issue of the india foundation journal,en,[]
159,afghanistan and the new grand chessboard an article by ms sandhya jain published in nov dec issue of the india foundation journal,en,"[{'screen_name': 'vijayvaani', 'name': 'sandhya jain', 'id': '542385412'}]"
160,a world union based on resurgent asianism an article by shri ram madhav member board of governors india foundation published in the nov dec issue of the india foundation journal,en,"[{'screen_name': 'rammadhav_rss', 'name': 'ram madhav', 'id': '751400048'}]"
161,a changing world order challenges for india an article by maj gen dhruv c katoch director india foundation published in the nov dec issue of india foundation journal,en,"[{'screen_name': 'dhruv_ck', 'name': 'dhruv c katoch', 'id': '4900319414'}]"
162,india foundation chats watch the interview of shri ranil wickremesinghe former prime minister of sri lanka with shri nitin gokhale,en,"[{'screen_name': 'rw_unp', 'name': 'ranil wickremesinghe', 'id': '2913830408'}, {'screen_name': 'nitingokhale', 'name': 'nitin a. gokhale', 'id': '72539202'}]"
163,india foundation journal november december focus india s neighbourhood articles by shri ram madhav dr a k abdul momen sandhya jain prof amalendu misra harkirat singh raksha pandey,en,"[{'screen_name': 'rammadhav_rss', 'name': 'ram madhav', 'id': '751400048'}, {'screen_name': 'vijayvaani', 'name': 'sandhya jain', 'id': '542385412'}, {'screen_name': 'gauried', 'name': 'gaurie dwivedi', 'id': '2308054499'}, {'screen_name': 'asajjanhar', 'name': 'ashok sajjanhar', 'id': '75061307'}, {'screen_name': 'dhruv_ck', 'name': 'dhruv c katoch', 'id': '4900319414'}]"
164,india foundation special john ruskin s influence on gandhi mr come carpentier in a conversation with mr howard hull,en,"[{'screen_name': 'comecarpentier', 'name': 'come carpentier', 'id': '4123406774'}]"
165,india foundation special john ruskin s influence on gandhi mr come carpentier in a conversation with mr howard hull,en,"[{'screen_name': 'comecarpentier', 'name': 'come carpentier', 'id': '4123406774'}]"
166,watch the st episode of india foundation facebook interview series ms gauri dwivedi in conversation with ms n s nappinai supreme court advocate and founder cyber saathi video link,en,"[{'screen_name': 'gauried', 'name': 'gaurie dwivedi', 'id': '2308054499'}]"
167,and india foundation organized a closed webinar on wednesday oct to discuss iran india bilateral relations in light of recent developments in global politics,en,[]
168,india foundation in collaboration with sushma swaraj institute of foreign service organised days long on october in new delhi for diplomats of foreign missions on introduction to india press release,en,"[{'screen_name': 'ssifs_mea', 'name': 'sushma swaraj institute of foreign service', 'id': '2992355970'}]"
169,glimpses from the organised by india foundation in collaboration with sushma swaraj institute of foreign service distribution of certificates,en,"[{'screen_name': 'ssifs_mea', 'name': 'sushma swaraj institute of foreign service', 'id': '2992355970'}]"
170,shri ram madhav member board of governors india foundation delivered the valedictory address on india s global vision at the organised by india foundation in collaboration with for diplomats of foreign missions,en,"[{'screen_name': 'rammadhav_rss', 'name': 'ram madhav', 'id': '751400048'}, {'screen_name': 'ssifs_mea', 'name': 'sushma swaraj institute of foreign service', 'id': '2992355970'}]"
171,ms preeti saran former secretary ministry of external affairs govt of india delivered the lecture on india s foreign policy at the organised by india foundation in collaboration with for diplomats of foreign missions,en,"[{'screen_name': 'ssifs_mea', 'name': 'sushma swaraj institute of foreign service', 'id': '2992355970'}]"
172,prof shamika ravi former member prime minister s economic advisory council delivered the lecture on indian economy at the organised by india foundation in collaboration with for diplomats of foreign missions,en,"[{'screen_name': 'shamikaravi', 'name': 'prof shamika ravi', 'id': '2294172542'}, {'screen_name': 'ssifs_mea', 'name': 'sushma swaraj institute of foreign service', 'id': '2992355970'}]"
173,dr vinay sahasrabuddhe president indian council of cultural relations delivered the lecture on indian polity post at the organised by india foundation in collaboration with for diplomats of foreign missions,en,"[{'screen_name': 'vinay1011', 'name': 'dr. vinay sahasrabuddhe', 'id': '44667113'}, {'screen_name': 'iccr_hq', 'name': 'iccr', 'id': '2812895832'}, {'screen_name': 'ssifs_mea', 'name': 'sushma swaraj institute of foreign service', 'id': '2992355970'}]"
174,sanmitram episode ms pavithra srinivasan in a conversation with jayachandran surendran lecturer iiit hyderabad,fr,"[{'screen_name': 'beingpavithras', 'name': '🌷pavithra srinivasan🌷', 'id': '962261671057264640'}]"
175,,und,[]
176,,und,[]
177,,und,[]
178,,und,[]
179,,und,[]
180,,und,[]
181,,und,[]
182,,und,[]
183,,und,[]
184,,und,[]
185,,und,[]
186,,und,[]
187,,und,[]
188,,und,[]
189,,und,[]
190,,und,[]
191,,und,[]
192,mananiya shri dattatreya hosabale ji sarkaryavah is speaking at the book discussion on the hindutva paradigm book authored by shri ram madhav member board of governors india foundation,en,"[{'screen_name': 'dattahosabale', 'name': 'dattatreya hosabale', 'id': '2651029910'}, {'screen_name': 'rssorg', 'name': 'rss', 'id': '310239584'}, {'screen_name': 'rammadhav_rss', 'name': 'ram madhav', 'id': '751400048'}]"
193,shri s prasanarajan is speaking at the book discussion on the hindutva paradigm authored by shri ram madhav member board of governors india foundation,en,"[{'screen_name': 'prasannara', 'name': 's. prasannarajan', 'id': '71491139'}, {'screen_name': 'rammadhav_rss', 'name': 'ram madhav', 'id': '751400048'}]"
