,tweet,language
113,well said tulsi works ground level greta works institutional level pressurizing govts ultimately needed without ppl like greta corrupt politicians would freely destroy forests work people like tulsi would go waste,en
114,,und
115,third pollution cars industries stubble burning complex problems slow long term solutions stop using car one month thinks otherwise firecrackers entertainment easier avoid using ppl,en
116,second firecrackers contain extremely toxic chemicals heavy metals even green ones present car exhausts industrial pollution far dangerous health,en
117,three reasons first source pollution causes massive spike time span one day would go live gas chamber one day year justify saying make impact lungs span one year,en
118,new video virat kohli fabindia ceat tanishq boycotts watch,en
119,sitting another continent enjoying clean air poisoning lungs get back acha hai keep going kind stupidity love seeing,en
120,wedding pics dhruv x juli,en
121,thanks wishes everyone wedding video,en
122,detailed opinion vir das controversy watch,en
123,never forget labeled farmers terrorists khalistanis standing rights news channels demonized protestors day night hundreds farmers killed course protest,en
124,yesterday godi media telling farm laws masterstroke today onwards godi media start telling repealing farm laws masterstroke,en
125,grand victory farmers,en
126,real number national family health survey read,en
127,attitude rape cases india go unreported family mein rape hua hai make police complain family ki baat family mein hi rehne nahi toh log kya kahenge,en
128,conclusion congress power free talk problems facing india bjp power called anti national talking problems facing india,en
129,vir das kahe toh character dheela modiji aur mohanji kahe toh ras leela part,hi
130,statement made,en
131,see news link statement gets deleted,en
132,vir das kahe toh character dheela modiji kahe toh ras leela,hi
133,request stop ads,en
134,pan masala ads exposed watch video,en
135,rt everybody passion blaming farmers seen crackers burnt delhi last days sc air,en
136,rt movement climate justice steps every level important whether planting trees flighting policy,en
137,well said tulsi works ground level greta works institutional level pressurizing govts ultimately needed without ppl like greta corrupt politicians would freely destroy forests work people like tulsi would go waste,en
138,,und
139,koi nahi agle saal phir se world cup hai waise bhi use trophy one year,en
140,rt government made ad net zero surprisingly honest informative feat,en
141,third pollution cars industries stubble burning complex problems slow long term solutions stop using car one month thinks otherwise firecrackers entertainment easier avoid using ppl,en
142,second firecrackers contain extremely toxic chemicals heavy metals even green ones present car exhausts industrial pollution far dangerous health,en
143,three reasons first source pollution causes massive spike time span one day would go live gas chamber one day year justify saying make impact lungs span one year,en
144,new video virat kohli fabindia ceat tanishq boycotts watch,en
145,sitting another continent enjoying clean air poisoning lungs get back acha hai keep going kind stupidity love seeing,en
146,would go live gas chamber day day,en
147,chart burnol moment liberals wokes haha agli baari phir se lecture diya toh pollute air even next saal ka target hai even liberals feel burn polluted air,en
148,comment karne aaye toh dimag ghar par bhul aaye kya,hi
149,personal car rely public transport vegetarian cut trees walk workout daily smoke already ab kuch naya reply socho ja kar,en
150,imagine something wastes money tortures pets hurts lungs puts children risk burns endangers asthmatic dadi offers seconds entertainment still feel mera culture khatre mein aa jayega otherwise,en
151,tweet firecrackers last new years developed countries new years day unhealthy air quality impact firecrackers imagine gas chamber firecrackers create indian cities already dangerous air quality,en
152,swami vivekananda video truly shaken fanatics using swamiji image spread hatred regressive agenda sharing another great quote think,en
153,swami vivekananda vs andh vishwas cow worship astrology watch video,en
154,last match arrest anti nationals cheering india loss today match happy india lost kohli deserved secular woke,en
155,wow,und
156,petrol price mar petrol price oct bitcoin price mar bitcoin price oct last six months petrol performed better bitcoin,en
157,petrol price crosses mark first time history happened places rajasthan madhya pradesh cities might follow soon,en
158,visiting biggest hindu temple africa watch vlog,en
159,nowadays trolls become lazy made mistake video posted correction within mins uploading video days later trolls read correction comment repost pretending discovered thodi toh mehnat khud se karo matlab,en
160,facebook officially renamed meta,en
161,one important issues ignored indian media watch video,en
162,explained whole sequence events video,en
163,aryan khan finally granted bail high court hand kiran gosavi detained mumbai police mumbai police initiates investigation sameer wankhede,en
164,multiple incidents violence happened,en
165,world becoming living example eye eye makes whole world blind,en
166,million special q amp video watch,en
167,rt spirit cricket sprit human beings let ppl fool,en
168,superpower fake news,en
169,haan bhai abhi abhi khidki par aya tha superman mujhe paisa dene usne mujhe warn bhi kiya tha ki aditya neeche khada dekh lega yeh paise dete hue toh badi problem ho jayegi mujhe sunni chahiye thi uski,hi
170,course ended boycotting marvel understand difference even star anchor shows picture avengers talking superman,en
171,one favorite tv anchors started trend getting offended latest edition superman comic,en
172,believe andh bhakts boycotting superman yesterday even joking,en
173,bangladesh durga puja violence singhu border attack watch video,en
174,next video bangladesh durga puja attacks lakhbir singh singhu border attack releasing tonight,en
175,coincidentally one favorite achaar fabindia always make sure stock felt cute might delete free promotion later let enjoy dawat e khas,en
176,andh bhakts hate leftists cancel culture also andh bhakts boycott fabindia ban unacademy boycott tanishq boycott zomato ban swiggy boycott netflix boycott amazon ban surf excel ban virat kohli boycott srk boycott bollywood boycott,en
177,rt everyone hates religious bigotry bigotry starts come religion becomes say anything,en
178,normal indians happy diwali safe prosperous diwali andh bhakts dare sirf humare festivals hi milte hai safe kehne ko aur prosperous wala liberal gyan bahut hua ab toh hindu khatre mein hai abhi ruk twitter par rona shuru karta hun,in
179,detailed video rise fall air india watch,en
180,global hunger index fake press freedom index wrong global democracy index biased global happiness index anti national environment protection index leftist conspiracy ease business index correct,en
181,international report shows bad performance ye toh conspiracy hai modiji ke western countries biased amp jealous modiji international report shows good performance wah look everyone praising modiji modiji ne desh ka naam ucha kiya,en
182,kind argument also countries dictators countries people beheaded minor offences also countries drugs decriminalized kal ko taliban ya north korea ko bhi cite karoge kya justification ke liye,en
183,sharing secrets learn principles techniques use producing editing high quality videos special course graphy hour interactive live class th october join sounds interesting,en
184,hindutva boys obsessed saving savarkar image know single freedom fighter truly call everyone bhagat singh gandhi bose lal bahadur shashtri secular use religion politics,en
185,coal shortage india china watch video,en
186,happened lakhimpur case till watch video,en
187,today news amitabh bachchan terminated contract pan masala brand great job hope celebrities also,en
188,pandora papers explained watch video,en
189,full story till watch,en
190,exactly,en
191,shameless celebrities already multi millionaires yet resist endorsing cancer point rich influential still dirty work,en
192,special vlog meeting masai tribe africa exploring lifestyle culture watch,en
193,clearest video lakhimpur kheri incident yet farmers walking peacefully car violently comes runs shocking,en
194,rt,hi
195,shocking footage,en
196,new video latest happenings watch,en
197,thanks abhishek,en
198,rt thank much wonderful video bhaiya,en
199,people farmers protest wear bhindranwale shirt farmers khalistanis whole protest anti national half bjp supporters trend support godse praise godse bjp supporters nationalist deshbhakts,en
200,inspiring life story right village watch ground report,en
201,union minister son allegedly kills protesting farmers running car godi media g drugs found cruise ship srk son godi media,en
202,rt shahrukh khan son caught allegedly partying drugs bigger news central minister son allegedly mowing,en
203,special thanks trolls roasters also giving constant free publicity people got access quality educational content feat achieved quicker expected,en
204,reached million subscribers youtube today big thank,en
205,mahatma gandhi try save bhagat singh special episode watch video,en
206,new ground report coming right akhada haryana village olympic champion releasing tomorrow probably,en
207,ideas watch,en
208,new ground report africa cleanest country along horrifying history watch video,en
209,new vlog kenya watch,en
210,new detailed video emergency period watch,en
211,one well animated detailed mini documentaries watch video,en
212,rt arnab goswami intelligence sources,en
213,secret organization cleaning india ground report goes deep work done watch video,en
214,india income tax watch new video,en
215,iphone go update ios software update finally fixes bug pegasus spyware exploited spy people,en
216,news channel north korean propaganda tv,en
217,rt marketing career spanning two decades never newspaper marketing deptt produced advertisement fo,en
218,cell wants believe newspaper hires designers design ads behalf companies governments nice try defending feku master blaming newspaper,en
219,front page ad ajay singh bisht pictures development stolen west bengal,en
220,link full video,en
221,hinduism vs hindutva explained perfectly must watch interview,en
222,petrol price amp oil bonds excuse explained watch video,en
223,visiting sadar bazaar rwanda new vlog,en
224,rt save pic next generation,en
225,correct,en
226,hello africa wants see daily vlogging african trip,en
227,rt beautiful young india waking questions wrote history amp truly heart war,en
228,link,en
229,released one longest detailed videos yet savarkar partition go watch,en
230,drink alcohol eat meat fascist sympathizers act surprised continuously supported ideology hell bent taking away personal freedoms want full control eat wear watch read marry etc,en
231,final episode series communism captialism socialism watch video,en
232,rt let debunk old rw propaganda class th history social science ncert chapters class th history nce,en
233,extremist hate monger called yati used get crazy level support bjp leaders bjp supporters till time spreading hate religions people today turned spoke bjp women,en
234,rt ias,hi
235,neeraj chopra bajrang punia deserve another medal showing courage openly talk unity brotherhood times,en
236,worlds expensive currency watch video,en
237,tight slap people using neeraj spreading communal hateful agenda,en
238,rt umar khalid case court today,en
239,know india actually definition farmer learn history laws farming episode maha bharat listen,en
240,ache din aane wale hai india superpower overtake usa china soon modi good choice least modi better taliban want cheap petrol press conferences go afghanistan,en
241,,en
242,pakistan defines good taliban bad taliban watch video,en
243,new video taliban takeover afghanistan watch,en
244,taliban completely captured afghanistan president afghanistan run away another country really taliban rise power explain video,en
245,independence day special video mini documentary partition watch,en
246,video almost mini documentary kargil war enjoy watch,en
247,congratulations messi joining psg,fr
248,second episode must say turned one best edited videos produced till watch video,en
249,literal calls genocide given openly faces people visible clearly identity fraud baba instigates known videos taliban like extremists publicly available yet nothing happens yahi hai modi ka new india,en
250,ready second episode gems india coming soon guess city india hint name city starts j,en
251,first gold medal india tokyo olympics congratulations,en
252,great decision modi govt rename rajiv gandhi khel ratna award major dhyan chand khel ratna award hope rename narendra modi stadium jaitley stadium also remove politician names,en
253,new video legendary history indian hockey watch,en
254,congratulations lovlina bronze,en
255,wah expressing opinions based personal observations indian law kyun kuch bhi challenge show case booked someone spreading pro bjp fake news show delete old tweet,en
256,new video assam mizoram border issue watch,en
257,rt oh snap,en
258,bihar cm nitish kumar also demands investigation pegasus scandal long modi govt keep ignoring,en
259,seems like whole gang thrives hatred even moment celebration joy wanted hate something everyday twitter anyways seeing joy happiness really makes uncomfortable end,en
260,course deleted tweet within mins soon realized used quote context feed hate want destroy atmosphere happiness amp celebration today late hate campaign already started cont,en
261,next thing know troll accounts saying paid bollywood naukar shah rukh khan troll websites like poopindia writing articles deleted tweet cont,en
262,today outraging deleted tweet harmless tweet said movie like chak de india would probably motivated children take hockey aaand took context say definitely crediting srk success team cont,en
263,rw twitter excessively obsessed jealous unbelievable sharing context clips videos misquoting statements outraging something said outraging say something every week story,en
264,thank odisha govt massively promoting hockey odisha govt replaced sahara sponsor indian hockey teams also developed world class facilities hosted multiple tournaments,en
265,congratulations indian hockey team creating history years best luck semi finals,en
266,bjp meghalaya beef good cow slaughter allowed bjp uttar pradesh beef bad cow slaughter banned,en
267,rt kerala records crimes crime rate high kerala records accidents accident rate high kerala records suicides,en
268,common states kerala west bengal punjab j amp k hint lot time amp money spent constantly defame states people adhere particular ideology today seems like mizoram next target,en
269,shameless bjp supporters defame world renowned virologist promote fake agenda agar koi factual counter nahi hai toh chup raho embarrass,en
270,since last days cell running nice little campaign defame kerala model praise uttar pradesh model covid instead easy debunk nonsense read real facts opinion virologists,en
271,new video inspiring story mirabai chanu watch video,en
272,west bengal becomes first state india announce investigation pegasus scandal commission inquiry headed ex supreme court judge mb lokur,en
273,pegasus scandal explained full details watch video,en
274,rt star olympian super mum mary kom little message follow live blog ht,en
275,excited announce presence graphy get chance learn best creators free would one mentors apply,en
276,imagine making people understand concept interfering people personal life choices,en
277,credit card new explainer video credit cards watch,en
278,kal ko constipation hoga tab bhi dhruv rathee ko blame karna wanted take away video would copyright strike trust really want videos stay youtube stupidity visible everyone learn take responsibility content,en
279,occasion launch new video space tourism race watch,en
280,reuters guardian bbc news new york times edward snowden die zeit germany le monde france haaretz israel proceso mexico direkt hungary even french agencies sab ke sab jhoote hai bas humare dear modiji sahi hai modi supporters,en
281,international bezati modi govt become monthly affair modi supporters run excuses defend manage say foreign conspiracy every time ab toh aakhne khol lo least,en
282,full history afghanistan watch video,en
283,factual basis suggest use twitter tweeting factual basis suggest use whatsapp messaging factual basis suggest use car driving,en
284,wah aaj tak journalists praise modi day amp night social media nothing happens soon tweets criticizing modi company suddenly remembers rules fires,en
285,,und
286,seen video highly recommend start one inspirational video treeman haryana,en
287,big thank trolls amp roasters free publicity every month trend name twitter free many new people discover channel start loving educational content welcome new comers,en
288,treeman haryana watch first episode gems india,en
289,danish showed us ground reality migrant crisis delhi riots corona crisis communalism work exposed criminals wanted keep crimes hidden public thanks got hardcore evidence truly missed,en
290,school drop became nobel prize winner new video legend watch video,en
291,finallyyy long overdue new series launching saturday youtube,en
292,saying ravi intentionally mere coincidence also unfortunate trend often seen many families bill people might encouraged female foeticide get son unless strong ways prevent,en
293,yes,und
294,half story children daughters son pics seems youngest one son typical story many families keep children get son shows bill increase female foeticide,en
295,crazy australian politician masks vaccines praising yogi model read thread,en
296,big problem religious conversions india explore based hard facts data watch,en
297,rt difference gets arrested joke even crack arrested making,en
298,youtuber karl rock single handedly promoted tourism india millions people imagine blacklisted indian govt without giving reason,en
299,new video cabinet reshuffle good bad watch,en
300,rt saddened amp disturbed death year old human rights defender father prolonged,en
301,uapa conviction rate means almost everyone arrested law innocent people like stan swamy suffer die stupid law tool harass opposing voices like rowlatt act british raj uapa,en
302,new video extreme heatwave canada temperature almost touched c watch,en
303,new video potential third wave watch,en
304,,und
305,finally got first dose vaccine today moderna anyone wondering nice coincidence,en
306,tibetans allowed protest peacefully ccp govt scared ccp,en
307,feel free suggest topics,en
308,world first country make bitcoin legal tender watch video,en
309,people consider important problems life marrying women community religious conversion ppl religion khatre mein hai people give priority unemployment climate change environment one,en
310,congrats deserve,en
311,twitter fb insta modi govt harasses companies like yr old angry bully wonder every startup see immediately moves offices singapore dubai soon companies simply want take risk business india,en
312,today parts canada reporting temperatures hotter delhi climate change impact worst,en
313,new video swami vivekananda watch,ht
314,twitter vs modi govt watch video,en
315,whenever bjp accounts twitter outrage something completely ignore wait days high chance something fake pre planned natak happened,en
316,upload twitter facebook video bollywood song video would taken copyright every social media user knows india minister thinks agenda twitter,en
317,one best quality videos made till date watch,en
318,new ground report releasing tomorrow every video try best take quality next level one would hopefully surpass expectations turned amazingly well,en
319,whole system heavily favors people already wealth instead favoring hard working people one might say providing free basic needs everyone giving interest free loans grants needy people helps level playing field slightly,en
320,true however rags riches stories rare extremely hard someone rise top manage basic needs whereas next impossible someone loads inherited wealth lose unless something really stupid,en
321,money begets money purely capitalist society gets exponentially easier make money money easier gets everything stock markets real estate investment favors someone starting capital struggle,en
322,last part especially aditya birla group request give mine start initiative lab made diamonds,en
323,full story buxwaha forest watch video,en
324,thank kerala high court,en
325,meeting german football team watch new vlog,en
326,rt trust takes putting brave face endorsing book condenses ten years work something tha,en
327,iz bizness,en
328,,en
329,new vlog borders countries part former yugoslavia watch,en
330,twitter biased twitter leftist conspiracy western companies target nationalist accounts proof trick george soros excuse could used played victim card like people,en
331,even million followers enough get blue tick,en
332,list countries twitter banned north korea china iran turkmenistan nigeria anyone wants india added list big disservice nation downgrading india level countries,en
333,uttar pradesh feel free spread fake news pro bjp nothing happen system defend make unintentional mistake news bjp harassed amp booked matter even apologize amp correct,en
334,first time life watching match stadium france vs germany happening release vlog later,en
335,account shared photoshopped images suspended thank,en
336,photoshopped images never tweeted anything like fact never used single abusive word videos tweets posts ever since joined social media low haters fall,en
337,never said nepo kid stop thinking binary point address privilege broader context make statement srk clearly said case may may impacted career,en
338,story one year later watch video,en
339,lakshadweep sedition case filed filmmaker aisha sultana criticizing praful patel response bjp leaders party workers lakshadweep resigned party,en
340,look extent people question govt threatened instagram done also organized troll network conducts raids mass abusing targeted people spam comment section amp inbox worst possible threats,en
341,kind hashtag half liberals women mean hate matlab logic kahan hai,en
342,mystery mehul choksi watch new video,en
343,also original humari population khatre mein hai whatsapp forward,en
344,visited museum berlin today credit chori koi inse seekhe seekhe inse,en
345,thanks opposition leaders people supreme court pressurizing finally govt done long time ago,en
346,new video india latest gdp data watch,en
347,dogecoin vs bitcoin watch new video,en
348,epic,en
349,would happen watch video,en
350,personal details leaked dominos air india data breaches know video protect watch,en
351,rt facebook ne mujhe bye bye kar diya hai telegram pe join kar lo mitrooooon kal kya pata ka,tl
352,give follow amazing job unique informative graphics india disappointing often get credited work,en
353,lakshadweep danger watch video,en
354,repeating said prepared worst case scenario always know use vpn teach family members friends,en
355,need know black fungus white fungus video collaboration india top virologist dr gagandeep kang watch video,en
356,twitter job marking fake news fake news fascists got irritated embarrassed sent puppet police raid twitter offices,en
357,yaar itni jalti kyun hai tum logon ki har video par ek cool dikhne walla comment zaroor marna hai video bina dekhe,hi
358,israel palestine unite one country watch,en
359,includes bjp ruled states also letting modi glorified personality steal credit everything ideally want political pics removed know modi never agree remove pics cornered amp pressured like,en
360,would ethical thing would also mean would one counter pm cheap publicity attempts give free hand future repeat tactics needs see level playing field,en
361,jharkhand chhattisgarh cm replaced pm modi pic vaccine certificate suggest chief ministers states pm modi voluntarily agrees remove pic exploit publicity teach lesson,en
362,special video raja ram mohan roy birthday today watch,en
363,visit twitter day saw glycerin trending need guess must happened,en
364,rt thanks mentioning looking peace region committed social solid,en
365,new video akhand bharat watch,en
366,humbled toh theek hai sir mana karo unhe wasting milk good,en
367,one article alt news enough destroy complete propaganda factory cell godi media wonder jealous alt news,en
368,rt disgusting bjp amp ecosystem using biggest pandemic last century score political points comparative,en
369,congrats bjp aaj russia ki baari hai tumhari bezati karne ki,fi
370,india given fair diplomatic balanced statement violence israel palestine supported palestine cause come shock andh bhakts think brains opinions based pure hatred others,en
371,rt,hi
372,rt pr speaks open debate middle east expresses strong condemnation acts,en
373,complete history israel palestine issue watch,en
374,delhi police arrested people making poster modi coward,en
375,link video,en
376,twitter trolls sharing context clip latest video intentionally twisting said stumble upon watch full video understand full context hard debunk nonsense,en
377,new video israel palestine issue watch,en
378,america became worlds powerful country watch video,en
379,complex take time,en
380,israeli forces hamas firing rockets common people dying sides indians blindly choosing sides complex conflict thirsting blood reality tv show going,en
381,rt face grieving nation tragedies unfolding around us continued attempt push falsehood pro,en
382,wow photography allowed central vista someone really insecure mess created,en
383,internationally renowned guardian newspaper criticizing modi someone uttar pradesh created website called daily guardian post news praising modi,en
384,elections blockchain work watch new video,en
385,essential work progress vs,en
386,breaking supreme court orders modi govt supply mt oxygen delhi everyday also upheld high court order supply mt oxygen karnataka modi govt completely failed supplying sufficient oxygen states amp looking excuses,en
387,best vaccine watch video,en
388,people saying fact checking way whitewash violence bengal matlab want enrage peope sharing fake gory photos amp videos want anyone tell fake means real agenda incite violence,en
389,joke oximeters cows,en
390,new video kangana amp west bengal violence watch,en
391,rt,hi
392,finally kangana account suspended twitter inciting violence also praising encouraging genocide,en
393,bjp workers attacked houses burnt killed tmc workers killed cpim houses also attacked bjp fans online talking one side story regardless mamata held responsible failed law amp order failure,en
394,new video bengal results watch,en
395,poor arnab goswami opened whole new tv channel bengali help masters election even disappeared channel election result coverage today,en
396,marked,en
397,series events,en
398,opposition party helped foreign embassies get oxygen cylinders external affairs minister whining like yr old child save supreme leader image,en
399,today delhi high court gave warning modi govt either supply mt allocated oxygen delhi face contempt court reality delhi needs mt modi govt even provide promised mt,en
400,suresh srivastava ramesh diwakar kesar singh gangwar lal bahadur maurya names another bjp mla blamed lack icu space lal bahadur maurya death gangwar son blamed govt healthcare system father death,en
401,past days least bjp mlas bjp general district secretary died uttar pradesh covid imagine bad situation common people,en
402,rt l,hi
403,rt madhya pradesh maharashtra got oxygen asked delhi getting less oxygen asked hc,en
404,great suggestion sonu sood govts support families lost sole earners,en
405,rt need replacement plasma donor max hospital saket new delhi blood group donor sufficient please share,en
406,govt lie even small things big deal accept crashed overload everyone visited website knows overloaded stopped working small time people problems getting otps,en
407,international reaction india crisis watch video,en
408,proof points,en
409,yogi adityanath model shamelessly lie hospitals shortage oxygen fake death count amp cases threaten hospitals lying oxygen shortage threaten people nsa amp property seizing cm gunda,en
410,rt trigger warning death,en
411,one shameless biggest liars,en
412,rt oh look dear trolls govt asking lower price vaccine well hope swamp tl lectures ec,en
413,p v,en
414,rt run monthly sip rs lakhs bit calling everyone donate covid effort,en
415,doubt responsible oxygen crisis read state govts even get surplus oxygen without approval modi govt shameless people still keep blaming state govts blindly,en
416,international media job indian media,en
417,hahaha bjp cell started copy pasting tweets opposing ideology defame copy pasting tweets strategy,en
418,tweets removed twitter order modi govt see anything wrong,en
419,rt one important videos ever made hospital beds available learn home treatment,en
420,modi govt cares pr lives twitter forced delete tweets criticize govt cell pages spreading fake news blaming state govts bjp leaders photo ops oxygen plants godi media asked blame system instead govt,en
421,one important videos ever made hospital beds available learn home treatment covid watch,en
422,rt negativity mat failao yaar,in
423,protocol toh bahana hai reality yeh hai ki modi always needs excuse whenever asked uncomfortable unscripted questions kabhi dosti bani rahe toh kabhi protocol follow kijiye,en
424,reality oxygen crisis watch,en
425,centre govt govt responsible allocating distributing oxygen supply states india hospitals running oxygen today courage blame modi busy elections care lives,en
426,hospital hours oxygen left moved high court unprecedented situation,en
427,hitler brainwashed millions people one well researched videos watch,en
428,new video air indoor pollution watch,en
429,amazing poetry exposing harsh reality actor,en
430,rt bodies burnt footpaths ghaziabad ram rajya rakshas rajya,en
431,rt please help bhai remdesivir required patient girjesh kumar yashoda hospital ghaziabad u p ph,en
432,rt patient archana karn age sex female covid positive location noida currently sjm hospital noida,en
433,rt needs remdesivir really needy person anyone plz help save life name tusli das ag,en
434,rt urgently required itolizumab injection mg x units patient hospital ventilator thane kindl,en
435,rt patient kachru rajaram pelmahale age need plasma itolizumab mg injection urgent sushr,en
436,rt needed plasma ashok kumar tyagi yr blood group metro hospital preet vihar delhi days old,en
437,rt looking plasma donor delhi admitted neuro icu bed number max hospital saket n,en
